id;name;is_active
114;Публичное акционерное общество;TRUE
115;Публичное акционерное общество;TRUE
116;Религиозная организация;TRUE
117;Религиозная организация;TRUE
118;Российская академия наук;TRUE
119;Российская академия образования;TRUE
120;Российская ассоциация;TRUE
121;Российская ассоциация;TRUE
122;Российская Федерация;TRUE
123;Российская Федерация;TRUE
124;Российская федерация;TRUE
125;Российская Федерация;TRUE
126;Российский фондовый рынок;TRUE
127;Российский фондовый рынок;TRUE
128;Российское агентство международной информации;TRUE
129;Российское агентство международной информации;TRUE
130;Российское агентство международной информации;TRUE
131;Российское агентство международной информации;TRUE
132;Российское агентство международной информации;TRUE
133;Российское агентство международной информации;TRUE
134;Российское агентство международной информации;TRUE
135;Российское агентство международной информации;TRUE
136;Российское агентство международной информации;TRUE
137;Российское агентство международной информации;TRUE
138;Российское агентство международной информации;TRUE
139;Российское агентство международной информации;TRUE
140;Российское агентство международной информации;TRUE
141;Российское агентство международной информации;TRUE
142;Российское агентство международной информации;TRUE
143;Российское агентство международной информации;TRUE
144;Российское агентство международной информации;TRUE
145;Российское агентство международной информации;TRUE
146;Российское агентство международной информации;TRUE
147;Российское агентство международной информации;TRUE
148;Российское агентство международной информации;TRUE
149;Российское агентство международной информации;TRUE
150;Российское агентство международной информации;TRUE
