id;name;is_active
SHN;Святая Елена, Остров Вознесения, Тристан-Да-Кунья;TRUE
SJM;Шпицберген и Ян Майен;TRUE
SLB;Соломоновы Острова;TRUE
SLE;Сьерра-Леоне;TRUE
SLV;Эль-Сальвадор;TRUE
SMR;Сан-Марино;TRUE
SOM;Сомали;TRUE
SPM;Сент-Пьер и Микелон;TRUE
SRB;Сербия;TRUE
SSD;Южный Судан;TRUE
STP;Сан-Томе и Принсипи;TRUE
SUR;Суринам;TRUE
SVK;Словакия;TRUE
SVN;Словения;TRUE
SWE;Швеция;TRUE
SWZ;Свазиленд;TRUE
SXM;Синт-Мартен (Нидерландская Часть);TRUE
SYC;Сейшелы;TRUE
SYR;Сирийская Арабская Республика;TRUE
TCA;Острова Теркс и Кайкос;TRUE
TCD;Чад;TRUE
TGO;Того;TRUE
THA;Таиланд;TRUE
TJK;Таджикистан;TRUE
TKL;Токелау;TRUE
TKM;Туркмения;TRUE
TLS;Тимор-Лесте;TRUE
TON;Тонга;TRUE
TTO;Тринидад и Тобаго;TRUE
TUN;Тунис;TRUE
TUR;Турция;TRUE
TUV;Тувалу;TRUE
TWN;Тайвань (Китай);TRUE
TZA;Танзания, Объединенная Республика;TRUE
UGA;Уганда;TRUE
UKR;Украина;TRUE
UMI;Малые Тихоокеанские Отдаленные Острова Соединенных Штатов / Внешние Малые Острова Сша;TRUE
URY;Уругвай;TRUE
USA;Соединенные Штаты;TRUE
UZB;Узбекистан;TRUE
VAT;Папский Престол (Государство - Город Ватикан);TRUE
VCT;Сент-Винсент и Гренадины;TRUE
VEN;Венесуэла Боливарианская Республика;TRUE
VGB;Виргинские Острова, Британские;TRUE
VIR;Виргинские Острова, Сша;TRUE
VNM;Вьетнам;TRUE
VUT;Вануату;TRUE
WLF;Уоллис и Футуна;TRUE
WSM;Самоа;TRUE
WWW;Международная компания;TRUE
YEM;Йемен;TRUE
YUG;Югославия;TRUE
ZAF;Южная Африка;TRUE
ZMB;Замбия;TRUE
ZWE;Зимбабве;TRUE
